Algorithm,Framework,multi-objective,constrained,Description
`SSA-NSGA-II <#SSA-NSGA-II>`_,None,yes,yes,A simple surrogate-assisted variant of the well-known NSGA-II algorithm.
`PSAF-GA <#PSAF-GA>`_,PSAF,no,no,A genetic algorithm assisted by surrogates.
`PSAF-DE <#PSAF-DE>`_,PSAF,no,no,Differential evolution assisted by surrogates.
`PSAF-CMAES <#PSAF-CMAES>`_,PSAF,no,no,The popular CMA-ES method with surrogate assistance.
`GPSAF-GA <#GPSAF-GA>`_,GPSAF,no,yes,A genetic algorithm assisted by surrogates with constraint handling.
`GPSAF-DE <#GPSAF-DE>`_,GPSAF,no,yes,Differential evolution assisted by surrogates with constraint handling.
`GPSAF-ISRES <#GPSAF-ISRES>`_,GPSAF,no,yes,"A surrogate-assisted variant of ISRES, a well-known algorithm for constrained single-objective optimization."
`GPSAF-NSGA-II <#GPSAF-NSGA-II>`_,GPSAF,yes,yes,"A surrogate-assisted variant of NSGA-II for bi-objective optimization."
`GPSAF-NSGA-III <#GPSAF-NSGA-III>`_,GPSAF,yes,yes,An extension of GPSAF-NSGA-II for many-objective optimization problems.
`ParEGO <#ParEGO>`_,ParEGO,yes,no,EGO on a per-iteration random augmented-Tchebycheff scalarization with Expected Improvement.
`EHVI <#EHVI>`_,EHVI,yes,no,Monte-Carlo Expected Hypervolume Improvement Bayesian optimization.
`MOEA/D-EGO <#Bayesian-Optimization-Algorithms>`_,MOEADEGO,yes,no,Decomposition-based efficient global optimization with a batch infill per iteration.
`TSEMO <#Bayesian-Optimization-Algorithms>`_,TSEMO,yes,no,Thompson-sampling efficient multi-objective optimization.
`K-RVEA <#K-RVEA>`_,KRVEA,yes,no,Kriging-assisted reference-vector guided EA with an adaptive diversity/uncertainty infill.
`CSEA <#Bayesian-Optimization-Algorithms>`_,CSEA,yes,no,A classification surrogate that screens offspring for evaluation.
`TuRBO <#TuRBO>`_,TuRBO,no,no,Trust-region Bayesian optimization for higher-dimensional single-objective problems.
`SAASBO <#Bayesian-Optimization-Algorithms>`_,SAASBO,no,no,Sparse axis-aligned-subspace Bayesian optimization for high-dimensional problems.
